Year,ID,SL,nilo_percentage,Average_scaledist,logAverage_scaledist,Average_diameter,logAverage_diameter,Species,logSL,Species2
2019,RUTFC2.15,58.9,0.005,83.75966667,1.92303494,2858.936667,3.456204535,KOR,1.770115295,KOR
2019,RUTFC2.16,56.2,0.005,81.637,1.911887037,2553.689,3.407168006,KOR,1.749736316,KOR
2019,RUTFC2.19,64.9,0.005,92.92833333,1.968148148,2873.8225,3.458459941,KOR,1.812244697,KOR
2019,RUTFC2.2,52.9,0.005,75.96588889,1.880618624,2359.047667,3.372736716,KOR,1.723455672,KOR
2019,RUTFC2.21,52.1,0.005,86.03266667,1.934663385,2276.443,3.35725678,KOR,1.716837723,KOR
2019,RUTFC2.22,55.8,0.005,79.651,1.901191233,2511.027,3.399851383,KOR,1.746634199,KOR
2019,RUTFC2.23,60.8,0.005,89.93255556,1.953916935,3172.107667,3.50134792,KOR,1.783903579,KOR
2019,RUTFC2.4,49.8,0.005,78.13844444,1.892864761,2464.919667,3.39180277,KOR,1.697229343,KOR
2019,RUTFC2.5,56.6,0.005,71.83688889,1.856347516,2277.381,3.357435693,KOR,1.752816431,KOR
2019,RUTFC2.6,52.4,0.005,79.330125,1.899438139,2526.848,3.402579118,KOR,1.719331287,KOR
2019,RUTFC2.8,56.8,0.005,86.09622222,1.934984096,2680.192,3.428165907,KOR,1.754348336,KOR
2019,RUTS1.2,46.8,0.005,74.84855556,1.874183424,2208.844333,3.34416511,KOR,1.670245853,KOR
2019,RUTS1.4,46.4,0.006,76.62577778,1.884374896,2288.530667,3.359556736,KOR,1.666517981,KOR
2019,RUTS2.6,43,0.005,77.75925,1.890752063,2006.228,3.302380287,KOR,1.633468456,KOR
2019,RUTS3.1,102.3,0.005,111.1575556,2.045938988,4400.507,3.643502716,KOR,2.009875634,KOR
2019,RUTS3.27,53.2,0.005,87.95155556,1.944243525,2384.368,3.377373285,KOR,1.725911632,KOR
2019,RUTS3.28,40,0.005,68.74344444,1.837231289,1828.594,3.26211729,KOR,1.602059991,KOR
2019,RUTS3.29,44,0.005,64.97255556,1.812729949,1862.633333,3.270127371,KOR,1.643452676,KOR
2019,RUTS3.30,46.5,0.005,93.87488889,1.972549436,2080.559667,3.318180175,KOR,1.667452953,KOR
2019,RUTS3.32,45.7,0.005,75.88225,1.8801402,2206.013667,3.343608199,KOR,1.6599162,KOR
2019,RUTS3.33,45.6,0.005,67.64055556,1.830207166,2058.927333,3.313641019,KOR,1.658964843,KOR
2019,RUTS3.35,41.9,0.005,70.61555556,1.84890038,1688.463667,3.22749172,KOR,1.622214023,KOR
2019,RUTS3.36,35.3,0.005,60.547875,1.782098906,1493.546333,3.1742187,KOR,1.547774705,KOR
2019,RUTS3.37,43.6,0.005,75.29022222,1.876738579,2088.965,3.319931164,KOR,1.639486489,KOR
2019,RUTS3.38,42,0.005,76.69944444,1.884792218,1802.892667,3.255969872,KOR,1.62324929,KOR
2019,RUTS3.41,42.2,0.005,74.23788889,1.870625613,1712.003,3.233504521,KOR,1.625312451,KOR
2019,RUTS3.42,45.5,0.005,86.32855556,1.936154474,2034.751,3.308511271,KOR,1.658011397,KOR
2019,RUTS3.45,37.7,0.005,70.55288889,1.848514801,1933.953333,3.28644599,KOR,1.57634135,KOR
2019,RUTS3.46,47.4,0.005,98.54977778,1.993655649,2197.702667,3.341968935,KOR,1.675778342,KOR
2019,RUTS3.48,46.9,0.005,86.21988889,1.935607459,2218.24,3.346008532,KOR,1.671172843,KOR
2019,RUTS3.51,33.6,0.005,76.23622222,1.882161367,1831.491667,3.262804947,KOR,1.526339277,KOR
2019,RUTS3.52,46.8,0.005,70.68188889,1.849308147,1976.555667,3.29590905,KOR,1.670245853,KOR
2019,RUTS3.53,46.1,0.005,82.86688889,1.918381034,2046.181667,3.310944189,KOR,1.663700925,KOR
2019,RUTS3.55,44.6,0.005,86.35255556,1.936275195,1974.055333,3.295359322,KOR,1.649334859,KOR
2019,RUTS3.56,50.1,0.005,76.78644444,1.885284558,2175.729667,3.337604934,KOR,1.699837726,KOR
2019,RUTS3.58,45.8,0.005,76.59833333,1.88421932,2078.804333,3.317813613,KOR,1.660865478,KOR
2019,RUTS3.59,37.4,0.005,65.28966667,1.814844451,1612.422333,3.207478805,KOR,1.572871602,KOR
2019,RUTS3.60,44,0.005,73.20911111,1.864565134,1941.517333,3.288141272,KOR,1.643452676,KOR
2019,RUTS4.12,46.5,0.005,78.46255556,1.894662449,2232.267,3.348746139,KOR,1.667452953,KOR
2019,RUTS4.15,53.4,0.006,88.816875,1.948495489,2416.527333,3.383191712,KOR,1.727541257,KOR
2019,RUTS4.6,45.7,0.005,81.46533333,1.910972839,2481.119667,3.394647711,KOR,1.6599162,KOR
2016,R08,80,0.989,91.32958333,1.960611476,3740.522667,3.572932291,NILO,1.903089987,NILO
2016,R100,65,0.991,68.46633333,1.83547707,2865.235667,3.457160349,NILO,1.812913357,NILO
2016,R104,52,0.991,97.261,1.987938731,2364.999,3.373830961,NILO,1.716003344,NILO
2016,R106,74,0.949,96.76041667,1.98569773,3557.272333,3.551117115,NILO,1.86923172,NILO
2016,R131,105,0.989,98.4825,1.993359065,4692.043333,3.671362014,NILO,2.021189299,NILO
2016,R139,85.5,0.99,74.62725,1.872897438,3698.040333,3.567971644,NILO,1.931966115,NILO
2016,R144,96.6,0.991,105.06075,2.021440497,5012.378667,3.700043873,NILO,1.984977126,NILO
2016,R147,96.7,0.991,84.93058333,1.929064107,4885.254333,3.688887179,NILO,1.985426474,NILO
2016,R155,92.2,0.991,90.741,1.957803561,4340.238333,3.637513578,NILO,1.964730921,NILO
2016,R19,68,0.991,75.44875,1.877652049,3087.295,3.48957813,NILO,1.832508913,NILO
2016,R20,70.9,0.991,83.24008333,1.920332506,3278.442333,3.515667549,NILO,1.850646235,NILO
2016,R21,72.3,0.99,84.50325,1.926873412,3251.774333,3.512120399,NILO,1.859138297,NILO
2016,R31,87,0.991,96.86208333,1.986153806,4302.446667,3.633715496,NILO,1.939519253,NILO
2016,R33,82.7,0.991,92.86308333,1.967843099,3723.859667,3.570993306,NILO,1.91750551,NILO
2016,R37,87,0.991,88.51633333,1.947023416,3783.160333,3.577854747,NILO,1.939519253,NILO
2016,R47,57.3,0.991,92.27875,1.965101703,2303.982667,3.362479208,NILO,1.758154622,NILO
2016,R48,80.4,0.991,86.77841667,1.938411722,3733.169667,3.572077728,NILO,1.905256049,NILO
2016,R93,55,0.991,72.48516667,1.860249142,2354.031,3.371812178,NILO,1.740362689,NILO
2019,RUTS.14,97.8,0.995,85.84177778,1.933698703,4400.997667,3.643551138,NILO,1.990338855,NILO
2019,RUTS.15,102.6,0.99,88.92555556,1.949026587,4294.129333,3.632875121,NILO,2.011147361,NILO
2019,RUTS1.13,46.6,0.996,77.26088889,1.8879597,2471.793,3.393012098,NILO,1.668385917,NILO
2019,RUTS1.8,48.2,0.991,69.52888889,1.842165289,2136.818333,3.329767601,NILO,1.683047038,NILO
2019,RUTS2.1,46.3,0.995,94.09622222,1.973572188,2033.265,3.308193985,NILO,1.665580991,NILO
2019,RUTS2.10,49.5,0.986,93.32611111,1.970003169,2396.933667,3.379656015,NILO,1.694605199,NILO
2019,RUTS2.11,53.1,0.995,64.72455556,1.811069077,2373.206333,3.375335499,NILO,1.725094521,NILO
2019,RUTS2.13,47.4,0.996,105.88425,2.024831365,2040.237333,3.30968069,NILO,1.675778342,NILO
2019,RUTS2.17,42.9,0.995,65.99488889,1.819510302,1758.351667,3.245105737,NILO,1.632457292,NILO
2019,RUTS2.2,50.8,0.991,85.212,1.930500759,2089.837,3.320112414,NILO,1.705863712,NILO
2019,RUTS2.3,49.1,0.996,78.81844444,1.896627859,2457.262667,3.390451583,NILO,1.691081492,NILO
2019,RUTS2.4,47.5,0.995,94.24811111,1.974272655,2068.404,3.315635369,NILO,1.67669361,NILO
2019,RUTS3.10,98.5,0.995,96.40011111,1.984077534,4790.798,3.68040786,NILO,1.99343623,NILO
2019,RUTS3.18,73.9,0.995,64.63144444,1.810443862,3474.169,3.540850941,NILO,1.868644438,NILO
2019,RUTS3.19,42.9,0.996,66.777,1.824626904,1723.765,3.236478058,NILO,1.632457292,NILO
2019,RUTS3.23,48.2,0.99,80.76477778,1.907222002,2275.945667,3.35716189,NILO,1.683047038,NILO
2019,RUTS3.25,43.2,0.996,66.96022222,1.825816886,1860.903333,3.269723814,NILO,1.635483747,NILO
2019,RUTS3.3,84.9,0.948,85.94044444,1.934197595,3938.693,3.595352131,NILO,1.92890769,NILO
2019,RUTS3.5,95.6,0.996,80.44655556,1.905507454,4673.614667,3.669652903,NILO,1.980457892,NILO
2019,RUTS3.8,107.3,0.995,88.74766667,1.948156944,5049.173667,3.703220309,NILO,2.030599722,NILO
2019,RUTS3.9,106,0.991,83.51522222,1.921765641,4650.195,3.667471165,NILO,2.025305865,NILO
2019,RUTS4.10,57.7,0.991,70.84455556,1.85030648,2610.687,3.416754807,NILO,1.761175813,NILO
2019,RUTS4.11,59.6,0.995,79.21766667,1.898822046,2633.637,3.420555915,NILO,1.77524626,NILO
2019,RUTS4.13,66,0.99,76.32033333,1.882640258,3155.890667,3.499121949,NILO,1.819543936,NILO
2019,RUTS4.18,53.5,0.982,83.99,1.924227581,2524.586,3.40219017,NILO,1.728353782,NILO
2019,RUTS4.19,52.4,0.996,71.81744444,1.856229947,2464.35,3.391702389,NILO,1.719331287,NILO
2019,RUTS4.2,52.5,0.995,72.73988889,1.861772633,2211.053667,3.344599284,NILO,1.720159303,NILO
2019,RUTS4.4,55.1,0.995,82.94988889,1.918815809,2481.032667,3.394632483,NILO,1.741151599,NILO
2019,RUTS4.7,49.4,0.995,59.99288889,1.778099775,2410.737333,3.382149893,NILO,1.693726949,NILO
2019,RUTS4.8,52.6,0.991,76.09122222,1.88133456,2204.845,3.343378064,NILO,1.720985744,NILO
2019,RUTS4.9,52.4,0.987,63.34022222,1.801679583,2036.354333,3.308853349,NILO,1.719331287,NILO
